orderId,execId,time,exchange,side,shares,symbol,price,permId,liquidation,cumQty,avgPrice
910087078,0000e0d5.5c347829.01.01,20190108  15:12:36,IBKRATS,BOT,100,GOOG,1073.12,1777641368,0,100,1073.12
910087164,0000e22a.5c34755b.01.01,20190108  15:17:59,EDGEA,BOT,100,SQQQ,15.16,1777641369,0,100,15.16
910087364,0000e22a.5c347d67.01.01,20190108  15:28:16,ISLAND,BOT,100,QQQ,158.5,1777641374,0,100,158.5
910087449,0000e22a.5c347fd1.01.01,20190108  15:31:21,ISLAND,SLD,100,QQQ,158.32,1777641375,0,100,158.32
910087453,0000e22a.5c3481c8.01.01,20190108  15:34:08,EDGEA,BOT,100,SQQQ,15.24,1777641376,0,100,15.24
910087571,0000e22a.5c348b12.01.01,20190108  15:46:55,ISLAND,SLD,100,QQQ,157.67,1777641377,0,100,157.67
910087857,0000e22a.5c3491b1.01.01,20190108  15:58:35,ISLAND,BOT,100,QQQ,157.56,387659839,0,100,157.56
910087978,0000e22a.5c34aeb5.01.01,20190108  16:50:54,IBKRATS,BOT,100,TSLA,332.8,387659845,0,100,332.8
910088024,0000e22a.5c34b5ae.01.01,20190108  17:04:30,ISLAND,BOT,100,TSLA,334.48,387659871,0,100,334.48
910088256,0000e22a.5c34ba3d.01.01,20190108  17:13:07,BATS,SLD,100,TSLA,333.8,387659872,0,100,333.8
